gj000001	1109271.482	579996.786	-5.285
gj000002	1109269.507	579997.312	-5.288
gj000003	1109267.535	579998.018	-5.405
gj000004	1109265.602	579998.811	-5.39
gj000005	1109263.736	579999.586	-5.391
gj000006	1109261.894	580000.517	-5.412
gj000007	1109260.157	580001.641	-5.258
gj000008	1109258.446	580002.944	-5.258
gj000009	1109256.778	580004.341	-5.153
gj000010	1109255.212	580005.644	-5.09
gj000011	1109253.611	580006.989	-4.964
gj000012	1109251.959	580008.342	-4.823
gj000013	1109250.302	580009.719	-4.712
gj000014	1109248.587	580011.044	-4.41
gj000015	1109246.809	580012.282	-3.962
gj000016	1109244.94	580013.28	-3.624
gj000017	1109243.018	580014.05	-3.445
gj000018	1109241.08	580014.63	-3.324
gj000019	1109239.12	580015.046	-3.156
gj000020	1109237.113	580015.329	-2.98
gj000021	1109235.053	580015.509	-2.834
gj000022	1109232.96	580015.624	-2.815
gj000023	1109230.819	580015.669	-2.78
gj000024	1109228.641	580015.662	-2.724
gj000025	1109226.427	580015.624	-2.783
gj000026	1109224.218	580015.563	-2.719
gj000027	1109221.986	580015.517	-2.788
gj000028	1109219.766	580015.496	-2.742
gj000029	1109217.532	580015.496	-2.745
gj000030	1109215.301	580015.516	-2.76
gj000031	1109213.297	580015.536	-2.751
gj000032	1109211.295	580015.559	-2.727
gj000033	1109209.295	580015.617	-2.744
gj000034	1109207.29	580015.692	-2.744
gj000035	1109205.248	580015.764	-2.677
gj000036	1109203.176	580015.831	-2.685
gj000037	1109201.046	580015.877	-2.727
gj000038	1109198.885	580015.924	-2.738
gj000039	1109196.693	580016.006	-2.759
gj000040	1109194.479	580016.112	-2.779
gj000041	1109192.256	580016.241	-2.726
gj000042	1109190.02	580016.421	-2.665
gj000043	1109187.75	580016.634	-2.597
gj000044	1109185.486	580016.87	-2.579
gj000045	1109183.456	580017.018	-2.532
gj000046	1109181.376	580017.068	-2.556
gj000047	1109179.361	580016.867	-2.778
gj000048	1109177.192	580016.291	-3.051
gj000049	1109175.321	580015.404	-3.44
gj000050	1109173.697	580014.085	-4.341
gj000051	1109172.52	580012.386	-5.075
gj000052	1109171.91	580010.353	-5.409
gj000053	1109171.952	580008.278	-5.721
gj000054	1109172.569	580006.27	-5.912
gj000055	1109173.694	580004.403	-6.21
gj000056	1109175.11	580002.851	-6.369
gj000057	1109176.69	580001.612	-6.379
gj000058	1109178.512	580000.606	-6.414
gj000059	1109180.499	579999.878	-6.367
gj000060	1109182.607	579999.44	-6.362
gj000061	1109184.602	579999.288	-6.301
gj000062	1109186.707	579999.379	-6.234
gj000063	1109188.904	579999.72	-6.256
gj000064	1109190.942	580000.144	-6.224
gj000065	1109193.082	580000.656	-6.19
gj000066	1109195.302	580001.308	-6.166
gj000067	1109197.256	580001.987	-6.142
gj000068	1109199.247	580002.697	-6.083
gj000069	1109201.252	580003.366	-6.057
gj000070	1109203.303	580004.003	-5.985
gj000071	1109205.403	580004.639	-6.1
gj000072	1109207.537	580005.245	-6.055
gj000073	1109209.698	580005.81	-5.933
gj000074	1109211.893	580006.309	-5.683
gj000075	1109214.124	580006.765	-5.426
gj000076	1109216.381	580007.183	-5.379
gj000077	1109218.662	580007.547	-5.552
gj000078	1109220.966	580007.889	-5.41
gj000079	1109223.296	580008.189	-5.328
gj000080	1109225.632	580008.455	-5.284
gj000081	1109227.976	580008.656	-5.463
gj000082	1109230.319	580008.831	-5.521
gj000083	1109232.689	580008.976	-5.511
gj000084	1109235.069	580009.118	-5.27
gj000085	1109237.455	580009.241	-5.007
gj000086	1109239.852	580009.353	-5.053
gj000087	1109242.249	580009.442	-5.055
gj000088	1109244.644	580009.528	-4.93
gj000089	1109247.045	580009.593	-4.928
gj000090	1109249.051	580009.635	-4.866
gj000091	1109251.061	580009.677	-4.788
gj000092	1109253.067	580009.717	-4.773
gj000093	1109255.083	580009.748	-4.732
gj000094	1109257.094	580009.763	-4.615
gj000095	1109259.107	580009.78	-4.684
gj000096	1109261.116	580009.778	-4.604
gj000097	1109263.128	580009.778	-4.635
gj000098	1109265.149	580009.779	-4.485
gj000099	1109267.171	580009.774	-4.613
gj000100	1109269.186	580009.764	-4.693
gj000101	1109271.205	580009.748	-4.671
gj000102	1109273.232	580009.741	-4.525
gj000103	1109275.258	580009.728	-4.619
gj000104	1109277.28	580009.714	-4.576
gj000105	1109279.302	580009.693	-4.462
gj000106	1109281.33	580009.664	-4.435
gj000107	1109283.354	580009.632	-4.371
gj000108	1109285.374	580009.605	-4.662
gj000109	1109287.395	580009.588	-4.822
gj000110	1109289.418	580009.561	-4.644
gj000111	1109291.447	580009.535	-4.481
gj000112	1109293.473	580009.522	-4.191
gj000113	1109295.495	580009.505	-4.213
gj000114	1109297.523	580009.486	-4.26
gj000115	1109299.549	580009.47	-4.2
gj000116	1109301.577	580009.452	-4.139
gj000117	1109303.606	580009.436	-4.267
gj000118	1109305.637	580009.425	-4.285
gj000119	1109307.664	580009.424	-4.358
